,electricity,heat
2016-01-01 00:00:00,-21600,-69.536
2016-01-01 01:00:00,-20714,-61.149
2016-01-01 02:00:00,-18960,-67.586
2016-01-01 03:00:00,-16404,-72.535
2016-01-01 04:00:00,-17399,-63.254
2016-01-01 05:00:00,-21258,-84.658
2016-01-01 06:00:00,-23987,-74.593
2016-01-01 07:00:00,-25118,-63.743
2016-01-01 08:00:00,-22841,-49.817
2016-01-01 09:00:00,-25319,-77.089
2016-01-01 10:00:00,-24544,-72.627
2016-01-01 11:00:00,-25109,-49.384
2016-01-01 12:00:00,-25679,-56.483
2016-01-01 13:00:00,-24367,-39.926
2016-01-01 14:00:00,-22293,-50.388
2016-01-01 15:00:00,-22329,-60.315
2016-01-01 16:00:00,-21498,-64.441
2016-01-01 17:00:00,-22126,-74.868
2016-01-01 18:00:00,-22722,-76.414
2016-01-01 19:00:00,-22745,-59.745
2016-01-01 20:00:00,-25449,-57.640
2016-01-01 21:00:00,-24398,-66.877
2016-01-01 22:00:00,-25206,-67.061
2016-01-01 23:00:00,-25561,-60.931
2016-01-02 00:00:00,-24939,-66.977
2016-01-02 01:00:00,-22573,-63.364
2016-01-02 02:00:00,-22750,-80.393
2016-01-02 03:00:00,-25521,-40.278
2016-01-02 04:00:00,-25714,-69.909
2016-01-02 05:00:00,-23706,-60.435
2016-01-02 06:00:00,-20257,-61.390
2016-01-02 07:00:00,-20957,-66.377
2016-01-02 08:00:00,-20611,-84.018
2016-01-02 09:00:00,-25077,-59.057
2016-01-02 10:00:00,-25128,-71.546
2016-01-02 11:00:00,-25687,-64.214
2016-01-02 12:00:00,-25776,-74.934
2016-01-02 13:00:00,-20462,-78.228
2016-01-02 14:00:00,-19824,-93.260
2016-01-02 15:00:00,-19988,-46.201
2016-01-02 16:00:00,-18579,-67.090
2016-01-02 17:00:00,-16255,-68.098
2016-01-02 18:00:00,-19322,-57.665
2016-01-02 19:00:00,-22085,-62.414
2016-01-02 20:00:00,-25481,-50.742
2016-01-02 21:00:00,-24351,-64.165
2016-01-02 22:00:00,-25581,-71.836
2016-01-02 23:00:00,-25518,-43.935
2016-01-03 00:00:00,-24819,-48.191
2016-01-03 01:00:00,-24526,-55.896
2016-01-03 02:00:00,-25571,-19.850
2016-01-03 03:00:00,-24360,-60.055
2016-01-03 04:00:00,-24906,-53.816
2016-01-03 05:00:00,-23550,-59.713
2016-01-03 06:00:00,-24968,-63.232
2016-01-03 07:00:00,-24985,-48.008
2016-01-03 08:00:00,-23975,-57.024
2016-01-03 09:00:00,-20609,-59.548
2016-01-03 10:00:00,-17363,-72.601
2016-01-03 11:00:00,-17099,-76.935
2016-01-03 12:00:00,-18442,-72.527
2016-01-03 13:00:00,-20649,-72.506
2016-01-03 14:00:00,-22602,-52.656
2016-01-03 15:00:00,-24057,-55.139
2016-01-03 16:00:00,-24981,-58.627
2016-01-03 17:00:00,-24802,-68.596
2016-01-03 18:00:00,-25272,-43.605
2016-01-03 19:00:00,-25466,-50.222
2016-01-03 20:00:00,-24787,-47.329
2016-01-03 21:00:00,-25312,-78.608
2016-01-03 22:00:00,-21292,-54.528
2016-01-03 23:00:00,-21246,-59.969
2016-01-04 00:00:00,-22910,-59.754
2016-01-04 01:00:00,-25080,-23.591
2016-01-04 02:00:00,-25185,-65.095
2016-01-04 03:00:00,-25219,-74.947
2016-01-04 04:00:00,-23612,-56.052
2016-01-04 05:00:00,-25661,-65.334
2016-01-04 06:00:00,-25552,-65.961
2016-01-04 07:00:00,-25505,-59.826
2016-01-04 08:00:00,-26909,-43.337
2016-01-04 09:00:00,-23064,-59.481
2016-01-04 10:00:00,-24158,-56.184
2016-01-04 11:00:00,-24798,-98.296
2016-01-04 12:00:00,-25003,-64.116
2016-01-04 13:00:00,-24043,-68.984
2016-01-04 14:00:00,-21961,-55.019
2016-01-04 15:00:00,-24834,-62.615
2016-01-04 16:00:00,-24571,-58.201
2016-01-04 17:00:00,-20948,-44.010
2016-01-04 18:00:00,-17686,-76.998
2016-01-04 19:00:00,-24362,-34.626
2016-01-04 20:00:00,-25649,-49.696
2016-01-04 21:00:00,-25727,-59.285
2016-01-04 22:00:00,-23784,-34.027
2016-01-04 23:00:00,-24028,-46.326
2016-01-05 00:00:00,-24848,-74.039
2016-01-05 01:00:00,-23864,-40.840
2016-01-05 02:00:00,-25139,-29.391
2016-01-05 03:00:00,-24977,-51.313
2016-01-05 04:00:00,-24610,-48.102
2016-01-05 05:00:00,-25006,-54.360
2016-01-05 06:00:00,-20165,-52.777
2016-01-05 07:00:00,-19445,-56.914
2016-01-05 08:00:00,-18188,-51.719
2016-01-05 09:00:00,-18549,-62.859
2016-01-05 10:00:00,-23557,-69.668
2016-01-05 11:00:00,-23050,-61.843
2016-01-05 12:00:00,-18499,-131.086
2016-01-05 13:00:00,-20558,-60.879
2016-01-05 14:00:00,-25948,-60.453
2016-01-05 15:00:00,-32938,-25.663
2016-01-05 16:00:00,-31954,-41.380
2016-01-05 17:00:00,-30550,-68.189
2016-01-05 18:00:00,-29505,-79.477
2016-01-05 19:00:00,-29830,-77.153
2016-01-05 20:00:00,-31007,-111.231
2016-01-05 21:00:00,-28812,-66.310
2016-01-05 22:00:00,-28381,-50.960
2016-01-05 23:00:00,-25187,-76.009
2016-01-06 00:00:00,-25016,-80.135
