,pv,wind
2016-01-01 00:00:00,0,0.362
2016-01-01 01:00:00,0,0.341
2016-01-01 02:00:00,0,0.289
2016-01-01 03:00:00,0,0.254
2016-01-01 04:00:00,0,0.228
2016-01-01 05:00:00,0,0.183
2016-01-01 06:00:00,0,0.149
2016-01-01 07:00:00,0,0.131
2016-01-01 08:00:00,0,0.127
2016-01-01 09:00:00,0,0.156
2016-01-01 10:00:00,0.045,0.157
2016-01-01 11:00:00,0.177,0.241
2016-01-01 12:00:00,0.38,0.264
2016-01-01 13:00:00,0.558,0.266
2016-01-01 14:00:00,0.693,0.276
2016-01-01 15:00:00,0.777,0.321
2016-01-01 16:00:00,0.816,0.417
2016-01-01 17:00:00,0.811,0.526
2016-01-01 18:00:00,0.762,0.627
2016-01-01 19:00:00,0.667,0.74
2016-01-01 20:00:00,0.524,0.81
2016-01-01 21:00:00,0.34,0.85
2016-01-01 22:00:00,0.139,0.855
2016-01-01 23:00:00,0.03,0.795
2016-01-02 00:00:00,0,0.745
2016-01-02 01:00:00,0,0.722
2016-01-02 02:00:00,0,0.722
2016-01-02 03:00:00,0,0.71
2016-01-02 04:00:00,0,0.704
2016-01-02 05:00:00,0,0.694
2016-01-02 06:00:00,0,0.682
2016-01-02 07:00:00,0,0.67
2016-01-02 08:00:00,0,0.675
2016-01-02 09:00:00,0,0.669
2016-01-02 10:00:00,0.04,0.659
2016-01-02 11:00:00,0.178,0.712
2016-01-02 12:00:00,0.397,0.751
2016-01-02 13:00:00,0.584,0.768
2016-01-02 14:00:00,0.721,0.774
2016-01-02 15:00:00,0.808,0.793
2016-01-02 16:00:00,0.844,0.82
2016-01-02 17:00:00,0.835,0.846
2016-01-02 18:00:00,0.78,0.87
2016-01-02 19:00:00,0.679,0.898
2016-01-02 20:00:00,0.531,0.918
2016-01-02 21:00:00,0.342,0.914
2016-01-02 22:00:00,0.137,0.888
2016-01-02 23:00:00,0.028,0.849
2016-01-03 00:00:00,0,0.798
2016-01-03 01:00:00,0,0.78
2016-01-03 02:00:00,0,0.76
2016-01-03 03:00:00,0,0.724
2016-01-03 04:00:00,0,0.7
2016-01-03 05:00:00,0,0.694
2016-01-03 06:00:00,0,0.71
2016-01-03 07:00:00,0,0.734
2016-01-03 08:00:00,0,0.744
2016-01-03 09:00:00,0,0.739
2016-01-03 10:00:00,0.04,0.744
2016-01-03 11:00:00,0.178,0.802
2016-01-03 12:00:00,0.392,0.836
2016-01-03 13:00:00,0.569,0.862
2016-01-03 14:00:00,0.699,0.872
2016-01-03 15:00:00,0.78,0.885
2016-01-03 16:00:00,0.815,0.895
2016-01-03 17:00:00,0.806,0.899
2016-01-03 18:00:00,0.752,0.905
2016-01-03 19:00:00,0.655,0.906
2016-01-03 20:00:00,0.514,0.901
2016-01-03 21:00:00,0.333,0.881
2016-01-03 22:00:00,0.138,0.839
2016-01-03 23:00:00,0.03,0.774
2016-01-04 00:00:00,0,0.718
2016-01-04 01:00:00,0,0.644
2016-01-04 02:00:00,0,0.574
2016-01-04 03:00:00,0,0.55
2016-01-04 04:00:00,0,0.551
2016-01-04 05:00:00,0,0.566
2016-01-04 06:00:00,0,0.599
2016-01-04 07:00:00,0,0.629
2016-01-04 08:00:00,0,0.642
2016-01-04 09:00:00,0,0.618
2016-01-04 10:00:00,0.04,0.557
